gene401	K00569
gene402	K00571
gene403	K00573
gene404	K00574
gene405	K00575
gene406	K00577
gene407	K00578
gene408	K00579
gene409	K00580
gene410	K00581
gene411	K00582
gene412	K00583
gene413	K00584
gene414	K00586
gene415	K00587
gene416	K00588
gene417	K00590
gene418	K00591
gene419	K00595
gene420	K00598
gene421	K00599
gene422	K00600
gene423	K00602
gene424	K00603
gene425	K00604
gene426	K00605
gene427	K00606
gene428	K00607
gene429	K00609
gene430	K00610
gene431	K00611
gene432	K00612
gene433	K00613
gene434	K00614
gene435	K00615
gene436	K00616
gene437	K00619
gene438	K00620
gene439	K00621
gene440	K00624
gene441	K00625
gene442	K00626
gene443	K00627
gene444	K00631
gene445	K00632
gene446	K00633
gene447	K00634
gene448	K00635
gene449	K00637
gene450	K00638
gene451	K00639
gene452	K00640
gene453	K00641
gene454	K00645
gene455	K00646
gene456	K00647
gene457	K00648
gene458	K00649
gene459	K00650
gene460	K00651
gene461	K00652
gene462	K00653
gene463	K00655
gene464	K00656
gene465	K00657
gene466	K00658
gene467	K00660
gene468	K00661
gene469	K00662
gene470	K00663
gene471	K00666
gene472	K00667
gene473	K00669
gene474	K00670
gene475	K00671
gene476	K00672
gene477	K00673
gene478	K00674
gene479	K00675
gene480	K00676
gene481	K00677
gene482	K00680
gene483	K00681
gene484	K00683
gene485	K00684
gene486	K00685
gene487	K00687
gene488	K00688
gene489	K00689
gene490	K00690
gene491	K00691
gene492	K00692
gene493	K00693
gene494	K00694
gene495	K00695
gene496	K00696
gene497	K00697
gene498	K00698
gene499	K00700
gene500	K00701
gene501	K00702
gene502	K00703
gene503	K00705
gene504	K00710
gene505	K00712
gene506	K00713
gene507	K00720
gene508	K00721
gene509	K00726
gene510	K00728
gene511	K00729
gene512	K00734
gene513	K00737
gene514	K00743
gene515	K00745
gene516	K00748
gene517	K00750
gene518	K00752
gene519	K00754
gene520	K00756
gene521	K00757
gene522	K00758
gene523	K00759
gene524	K00760
gene525	K00761
gene526	K00762
gene527	K00763
gene528	K00764
gene529	K00765
gene530	K00766
gene531	K00767
gene532	K00768
gene533	K00769
gene534	K00771
gene535	K00772
gene536	K00773
gene537	K00777
gene538	K00782
gene539	K00783
gene540	K00784
gene541	K00785
gene542	K00786
gene543	K00787
gene544	K00788
gene545	K00789
gene546	K00790
gene547	K00791
gene548	K00793
gene549	K00794
gene550	K00795
gene551	K00796
gene552	K00797
gene553	K00798
gene554	K00799
gene555	K00800
gene556	K00801
gene557	K00803
gene558	K00804
gene559	K00805
gene560	K00806
gene561	K00808
gene562	K00809
gene563	K00810
gene564	K00811
gene565	K00812
gene566	K00813
gene567	K00814
gene568	K00817
gene569	K00818
gene570	K00819
gene571	K00820
gene572	K00821
gene573	K00822
gene574	K00823
gene575	K00824
gene576	K00825
gene577	K00826
gene578	K00827
gene579	K00830
gene580	K00831
gene581	K00832
gene582	K00833
gene583	K00835
gene584	K00836
gene585	K00837
gene586	K00839
gene587	K00840
gene588	K00841
gene589	K00842
gene590	K00844
gene591	K00845
gene592	K00846
gene593	K00847
gene594	K00848
gene595	K00849
gene596	K00850
gene597	K00851
gene598	K00852
gene599	K00853
gene600	K00854
gene601	K00855
gene602	K00856
gene603	K00857
gene604	K00858
gene605	K00859
gene606	K00860
gene607	K00861
gene608	K00862
gene609	K00863
gene610	K00864
gene611	K00865
gene612	K00866
gene613	K00867
gene614	K00868
gene615	K00869
gene616	K00870
gene617	K00872
gene618	K00873
gene619	K00874
gene620	K00875
gene621	K00876
gene622	K00878
gene623	K00879
gene624	K00880
gene625	K00881
gene626	K00882
gene627	K00883
gene628	K00884
gene629	K00885
gene630	K00886
gene631	K00887
gene632	K00888
gene633	K00889
gene634	K00891
gene635	K00892
gene636	K00894
gene637	K00895
gene638	K00897
gene639	K00898
gene640	K00899
gene641	K00900
gene642	K00901
gene643	K00902
gene644	K00903
gene645	K00904
gene646	K00906
gene647	K00908
gene648	K00909
gene649	K00912
gene650	K00914
gene651	K00916
gene652	K00917
gene653	K00918
gene654	K00919
gene655	K00921
gene656	K00922
gene657	K00924
gene658	K00925
gene659	K00926
gene660	K00927
gene661	K00928
gene662	K00929
gene663	K00930
gene664	K00931
gene665	K00932
gene666	K00934
gene667	K00936
gene668	K00937
gene669	K00938
gene670	K00939
gene671	K00940
gene672	K00941
gene673	K00942
gene674	K00943
gene675	K00945
gene676	K00946
gene677	K00947
gene678	K00948
gene679	K00949
gene680	K00950
gene681	K00951
gene682	K00952
gene683	K00953
gene684	K00954
gene685	K00955
gene686	K00956
gene687	K00957
gene688	K00958
gene689	K00960
gene690	K00961
gene691	K00962
gene692	K00963
gene693	K00965
gene694	K00966
gene695	K00967
gene696	K00968
gene697	K00969
gene698	K00970
gene699	K00971
gene700	K00972
gene701	K00973
gene702	K00974
gene703	K00975
gene704	K00978
gene705	K00979
gene706	K00980
gene707	K00981
gene708	K00982
gene709	K00983
gene710	K00984
gene711	K00985
gene712	K00986
gene713	K00987
gene714	K00989
gene715	K00990
gene716	K00991
gene717	K00992
gene718	K00993
gene719	K00995
gene720	K00996
gene721	K00997
gene722	K00998
gene723	K01000
gene724	K01001
gene725	K01002
gene726	K01003
gene727	K01004
gene728	K01005
gene729	K01006
gene730	K01007
gene731	K01008
gene732	K01011
gene733	K01012
gene734	K01013
gene735	K01023
gene736	K01026
gene737	K01027
gene738	K01028
gene739	K01029
gene740	K01031
gene741	K01032
gene742	K01034
gene743	K01035
gene744	K01036
gene745	K01039
gene746	K01040
gene747	K01041
gene748	K01042
gene749	K01043
gene750	K01044
gene751	K01046
gene752	K01048
gene753	K01049
gene754	K01051
gene755	K01053
gene756	K01054
gene757	K01055
gene758	K01056
gene759	K01057
gene760	K01058
gene761	K01060
gene762	K01061
gene763	K01062
gene764	K01066
gene765	K01067
gene766	K01068
gene767	K01069
gene768	K01070
gene769	K01071
gene770	K01072
gene771	K01073
gene772	K01075
gene773	K01076
gene774	K01077
gene775	K01078
gene776	K01079
gene777	K01081
gene778	K01082
gene779	K01083
gene780	K01084
gene781	K01085
gene782	K01087
gene783	K01089
gene784	K01090
gene785	K01091
gene786	K01092
